#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,169328,42945,18208.800178,23233,3283.619005,21410,3025.966638,1818,256.945696,1823,257.652367,205,28.973525
297048,0.000133,95186,169368,42645,17920.702624,23090,3234.369200,21330,2987.834345,1652,231.406579,1760,246.534855,213,29.836320
297049,0.000133,97896,170911,43421,17741.685054,23478,3197.679170,21645,2948.026477,1710,232.900221,1833,249.652693,183,24.924410
297050,0.000182,72702,124860,31644,17410.250062,17024,3122.151614,15609,2862.644769,1219,223.561021,1415,259.506845,162,29.710324
297281,0.000294,109872,263203,66110,24068.006407,30174,3661.715451,27704,3361.972720,2233,270.981991,2470,299.742731,314,38.104946
297282,0.000250,96621,229880,57763,23913.227973,26245,3621.710946,24133,3330.262917,1949,268.954644,2112,291.448029,240,33.119094
297283,0.000267,94768,222625,56493,23844.757724,25307,3560.554899,23172,3260.172210,1817,255.641848,2135,300.382689,289,40.660701
297284,0.000250,98380,227785,57447,23357.186420,25820,3499.356238,23648,3204.987464,1913,259.266789,2172,294.368774,301,40.794199
297285,0.000200,127208,208436,52877,16626.941702,23548,2468.188584,21658,2270.087835,1750,183.426619,1890,198.100748,242,25.365281
297286,0.000222,54003,120672,30606,22669.851675,13646,3369.195539,12644,3121.801875,1030,254.306859,1002,247.393663,102,25.183786
297287,0.000250,96023,212202,53822,22420.461764,24309,3375.441301,22367,3105.783684,1769,245.635594,1942,269.657617,230,31.936793
297288,0.000267,93899,204495,51844,22085.006230,23107,3281.114105,21255,3018.136508,1718,243.950060,1852,262.977596,237,33.653181
297289,0.000267,93859,201332,50576,21554.033177,22879,3250.123412,21067,2992.716024,1671,237.377343,1812,257.407388,210,29.831982
297290,0.000267,92673,195804,50180,21658.951367,22425,3226.398196,20581,2961.092587,1705,245.306975,1844,265.305609,191,27.480136
297291,0.000235,106074,222231,56499,21305.503705,25200,3167.599977,23324,2931.789757,1889,237.444300,1876,235.810221,223,28.030746
297494,0.000286,228287,380048,95696,16767.665263,41471,2422.155737,38193,2230.700828,3041,177.612683,3278,191.454908,395,23.070375
297495,0.000312,105503,240422,60571,22964.655034,26035,3290.269787,24028,3036.627710,1826,230.767530,2007,253.642077,249,31.468299
297496,0.000304,148333,336047,84873,22887.152555,36375,3269.670269,33524,3013.400030,2723,244.764595,2851,256.270239,359,32.269735
297497,0.000312,100818,224249,57061,22639.211252,24388,3225.349971,22425,2965.740245,1810,239.375244,1963,259.609726,228,30.153346
297498,0.000267,100514,220211,55214,21972.660525,23604,3131.106115,21758,2886.231437,1780,236.119678,1846,244.874677,206,27.326210
297499,0.000312,103056,222046,56286,21846.762925,24103,3118.433991,22171,2868.472804,1760,227.707913,1932,249.961186,242,31.309838
297501,0.000294,110968,230081,58029,20917.381587,24649,2961.694663,22782,2737.365727,1898,228.053733,1867,224.328936,216,25.953428
297502,0.000312,108440,225279,56842,20967.170786,24656,3031.599656,22672,2787.655232,1822,224.025575,1984,243.944424,220,27.050289
297503,0.000250,27153,55948,14209,20931.757080,5998,2945.285358,5486,2693.870536,446,219.005880,512,251.414822,57,27.989541
297557,0.000316,259838,595260,149442,23005.411064,64887,3329.613067,59727,3064.832703,4784,245.486290,5160,264.780363,583,29.916076
297562,0.000200,345416,499426,126329,14629.200732,53686,2072.322456,49923,1927.067652,3854,148.767477,3763,145.254804,473,18.258178
297605,0.000182,226704,281422,70716,12477.239043,30577,1798.350860,28522,1677.488414,2123,124.861787,2055,120.862446,209,12.292093
297620,0.000290,1893027,3877052,978179,20669.097694,413521,2912.590963,381429,2686.554391,30006,211.344054,32092,226.036572,3804,26.793067
297656,0.000296,1111114,2443405,616316,22187.318313,260961,3131.523858,240132,2881.576508,18916,226.991410,20829,249.947350,2447,29.363924
