#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,4557,1105,468.523092,16,6.784045,297,41.976277,293,41.410940,6,0.848006,4,0.565337,0,0.000000
297048,0.000133,95186,4681,1158,486.626185,23,9.665287,294,41.182527,294,41.182527,2,0.280153,0,0.000000,0,0.000000
297049,0.000133,97896,4752,1221,498.896788,21,8.580534,290,39.497698,287,39.089101,10,1.361990,3,0.408597,0,0.000000
297050,0.000182,72702,3402,918,505.075514,14,7.702677,191,35.028839,190,34.845442,4,0.733588,1,0.183397,0,0.000000
297281,0.000294,109872,6975,1730,629.823795,29,10.557740,362,43.929906,358,43.444493,8,0.970827,4,0.485413,0,0.000000
297282,0.000250,96621,6003,1460,604.423469,33,13.661626,286,39.466921,282,38.914936,6,0.827977,4,0.551985,0,0.000000
297283,0.000267,94768,5892,1504,634.813439,32,13.506669,319,44.881535,314,44.178063,12,1.688334,5,0.703472,0,0.000000
297284,0.000250,98380,5962,1462,594.429762,22,8.944908,325,44.046893,323,43.775835,4,0.542116,2,0.271058,0,0.000000
297285,0.000200,127208,5393,1362,428.274951,25,7.861141,283,29.662705,280,29.348259,8,0.838522,3,0.314446,0,0.000000
297286,0.000222,54003,3134,741,548.858397,16,11.851193,156,38.516379,156,38.516379,2,0.493800,0,0.000000,0,0.000000
297287,0.000250,96023,5584,1367,569.446903,29,12.080439,309,42.906387,308,42.767531,5,0.694278,1,0.138856,0,0.000000
297288,0.000267,93899,5412,1355,577.215945,25,10.649741,263,37.345091,262,37.203094,3,0.425990,1,0.141997,0,0.000000
297289,0.000267,93859,5306,1332,567.660001,19,8.097252,283,40.202147,281,39.918033,5,0.710285,2,0.284114,0,0.000000
297290,0.000267,92673,5309,1369,590.894867,18,7.769253,263,37.839140,261,37.551390,3,0.431625,2,0.287750,0,0.000000
297291,0.000235,106074,5848,1506,567.905425,29,10.935762,306,38.463714,306,38.463714,8,1.005587,0,0.000000,0,0.000000
297494,0.000286,228287,9943,2439,427.356792,40,7.008721,496,28.969382,495,28.910976,8,0.467248,1,0.058406,0,0.000000
297495,0.000312,105503,6318,1581,599.414235,25,9.478403,295,37.281720,295,37.281720,7,0.884651,0,0.000000,0,0.000000
297496,0.000304,148333,8843,2200,593.259760,28,7.550579,419,37.663006,417,37.483230,8,0.719103,2,0.179776,0,0.000000
297497,0.000312,100818,5965,1553,616.159813,22,8.728600,312,41.262473,308,40.733467,4,0.529006,4,0.529006,0,0.000000
297498,0.000267,100514,5804,1434,570.666773,30,11.938635,268,35.550603,267,35.417952,4,0.530606,1,0.132652,0,0.000000
297499,0.000312,103056,5776,1452,563.577084,27,10.479739,288,37.261295,287,37.131915,6,0.776277,1,0.129379,0,0.000000
297501,0.000294,110968,5959,1537,554.033595,31,11.174393,296,35.565809,293,35.205344,5,0.600774,3,0.360464,0,0.000000
297502,0.000312,108440,5794,1399,516.045740,26,9.590557,297,36.517890,297,36.517890,4,0.491823,0,0.000000,0,0.000000
297503,0.000250,27153,1493,358,527.381873,5,7.365669,68,33.391031,68,33.391031,3,1.473134,0,0.000000,0,0.000000
297557,0.000316,259838,15691,3937,606.069936,75,11.545655,767,39.357856,760,38.998658,15,0.769710,7,0.359198,0,0.000000
297562,0.000200,345416,13091,3287,380.642472,56,6.484934,609,23.507886,607,23.430685,16,0.617613,2,0.077202,0,0.000000
297605,0.000182,226704,7226,1844,325.358176,37,6.528337,371,21.819936,371,21.819936,8,0.470511,0,0.000000,0,0.000000
297620,0.000290,1893027,101827,25525,539.347828,413,8.726764,4831,34.026632,4807,33.857591,99,0.697296,24,0.169041,0,0.000000
297656,0.000296,2551776,144431,36321,569.344645,583,9.138733,6949,36.309352,6905,36.079447,128,0.668815,44,0.229905,0,0.000000
297660,0.000211,1480276,56175,14148,382.307083,248,6.701453,2840,25.580815,2822,25.418683,46,0.414337,18,0.162132,0,0.000000
297661,0.000188,824611,26843,6711,325.535313,102,4.947788,1286,20.793643,1279,20.680458,22,0.355723,7,0.113185,0,0.000000
297662,0.000250,104235,4400,1081,414.831870,22,8.442462,200,25.583217,199,25.455301,4,0.511664,1,0.127916,0,0.000000
297663,0.000250,109306,4495,1097,401.441824,19,6.952958,233,28.421740,231,28.177776,5,0.609909,2,0.243963,0,0.000000
297664,0.000211,133532,5611,1380,413.384058,31,9.286164,237,23.664740,237,23.664740,3,0.299554,0,0.000000,0,0.000000
297670,0.000312,109485,6630,1688,616.705485,24,8.768324,286,34.829733,285,34.707951,7,0.852476,1,0.121782,0,0.000000
297672,0.000286,96241,5441,1372,570.235139,23,9.559335,268,37.129013,266,36.851931,2,0.277082,2,0.277082,0,0.000000
297673,0.000267,97839,5381,1327,542.523942,26,10.629708,288,39.248153,284,38.703039,7,0.953948,4,0.545113,0,0.000000
297674,0.000500,11685,663,179,612.751391,1,3.423192,36,41.078306,36,41.078306,0,0.000000,0,0.000000,0,0.000000
297723,0.000297,256624,13418,3303,514.838830,54,8.416984,606,31.485753,601,31.225970,10,0.519567,5,0.259783,0,0.000000
