#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,169328,42945,18208.800178,4042,571.273104,3899,551.062304,339,47.912316,143,20.210800,17,2.402683
297048,0.000133,95186,169368,42645,17920.702624,4221,591.263421,4053,567.730549,297,41.602757,168,23.532872,19,2.661456
297049,0.000133,97896,170911,43421,17741.685054,4160,566.587671,4012,546.430225,299,40.723489,148,20.157446,12,1.634388
297050,0.000182,72702,124860,31644,17410.250062,2946,540.287750,2822,517.546514,220,40.347354,124,22.741236,18,3.301147
297281,0.000294,109872,263203,66110,24068.006407,5195,630.430562,4979,604.218242,395,47.934566,216,26.212320,20,2.427067
297282,0.000250,96621,229880,57763,23913.227973,4630,638.922525,4436,612.151258,325,44.848773,194,26.771268,18,2.483932
297283,0.000267,94768,222625,56493,23844.757724,4410,620.462603,4206,591.760932,341,47.976814,204,28.701671,26,3.658056
297284,0.000250,98380,227785,57447,23357.186420,4617,625.736938,4420,599.037745,354,47.977231,197,26.699194,31,4.201396
297285,0.000200,127208,208436,52877,16626.941702,4101,429.847179,3943,413.286376,315,33.016791,158,16.560803,11,1.152967
297286,0.000222,54003,120672,30606,22669.851675,2335,576.511181,2258,557.499892,160,39.503978,77,19.011289,9,2.222099
297287,0.000250,96023,212202,53822,22420.461764,4127,573.057150,3942,547.368860,299,41.517831,185,25.688290,23,3.193679
297288,0.000267,93899,204495,51844,22085.006230,4096,581.617838,3924,557.194432,278,39.475039,172,24.423405,17,2.413941
297289,0.000267,93859,201332,50576,21554.033177,3991,566.949715,3837,545.072929,315,44.747973,154,21.876787,13,1.846742
297290,0.000267,92673,195804,50180,21658.951367,3946,567.730982,3791,545.430348,315,45.320644,155,22.300634,13,1.870376
297291,0.000235,106074,222231,56499,21305.503705,4448,559.106536,4291,539.371885,350,43.994444,157,19.734651,31,3.896651
297494,0.000286,228287,380048,95696,16767.665263,7355,429.576221,7078,413.397755,558,32.590555,277,16.178465,32,1.868992
297495,0.000312,105503,240422,60571,22964.655034,4576,578.308990,4393,555.181685,330,41.704975,183,23.127304,26,3.285847
297496,0.000304,148333,336047,84873,22887.152555,6428,577.799051,6163,553.978773,490,44.045043,265,23.820278,25,2.247196
297497,0.000312,100818,224249,57061,22639.211252,4409,583.096934,4231,559.556164,363,48.007300,178,23.540770,21,2.777282
297498,0.000267,100514,220211,55214,21972.660525,4000,530.606018,3846,510.177687,278,36.877118,154,20.428332,23,3.050985
297499,0.000312,103056,222046,56286,21846.762925,4182,541.065052,4013,519.199917,301,38.943228,169,21.865135,20,2.587590
297501,0.000294,110968,230081,58029,20917.381587,4292,515.704227,4135,496.839930,339,40.732463,157,18.864297,19,2.282940
297502,0.000312,108440,225279,56842,20967.170786,4299,528.587237,4128,507.561785,325,39.960654,171,21.025452,20,2.459117
297503,0.000250,27153,55948,14209,20931.757080,1057,519.034115,1004,493.008753,79,38.792521,53,26.025362,4,1.964178
297557,0.000316,259838,595260,149442,23005.411064,11442,587.135061,10966,562.709586,871,44.694515,476,24.425475,47,2.411759
297562,0.000200,345416,499426,126329,14629.200732,9400,362.847504,9101,351.305865,735,28.371587,299,11.541639,47,1.814238
297605,0.000182,21232,26606,6739,12695.930671,496,311.479528,476,298.919869,33,20.723436,20,12.559658,1,0.627983
