#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,169328,42945,18208.800178,1637,231.364194,1550,219.068113,197,27.842850,87,12.296081,18,2.544017
297048,0.000133,95186,169368,42645,17920.702624,1637,229.305430,1543,216.138228,156,21.851953,94,13.167202,14,1.961073
297049,0.000133,97896,170911,43421,17741.685054,1686,229.631446,1607,218.871728,214,29.146577,79,10.759718,13,1.770586
297050,0.000182,72702,124860,31644,17410.250062,1248,228.879536,1191,218.425903,153,28.059751,57,10.453633,10,1.833971
297281,0.000294,109872,263203,66110,24068.006407,2063,250.351925,1947,236.274938,246,29.852920,116,14.076987,23,2.791127
297282,0.000250,96621,229880,57763,23913.227973,1828,252.257101,1731,238.871467,208,28.703215,97,13.385634,16,2.207940
297283,0.000267,94768,222625,56493,23844.757724,1767,248.607125,1666,234.396984,208,29.264449,101,14.210141,17,2.391806
297284,0.000250,98380,227785,57447,23357.186420,1833,248.424477,1730,234.465000,209,28.325540,103,13.959477,23,3.117165
297285,0.000200,127208,208436,52877,16626.941702,1600,167.704337,1534,160.786533,183,19.181184,66,6.917804,7,0.733706
297286,0.000222,54003,120672,30606,22669.851675,965,238.258368,913,225.419575,93,22.961687,52,12.838793,7,1.728299
297287,0.000250,96023,212202,53822,22420.461764,1659,230.361476,1583,219.808449,193,26.799135,76,10.553027,17,2.360546
297288,0.000267,93899,204495,51844,22085.006230,1602,227.478461,1501,213.136810,183,25.985367,101,14.341651,19,2.697934
297289,0.000267,93859,201332,50576,21554.033177,1606,228.143634,1525,216.637012,201,28.553469,81,11.506622,9,1.278514
297290,0.000267,92673,195804,50180,21658.951367,1568,225.596092,1484,213.510587,220,31.652513,84,12.085505,17,2.445876
297291,0.000235,106074,222231,56499,21305.503705,1803,226.634236,1713,215.321379,202,25.391079,90,11.312857,10,1.256984
297494,0.000286,228287,380048,95696,16767.665263,2828,165.172203,2685,156.820143,338,19.741232,143,8.352060,22,1.284932
297495,0.000312,105503,240422,60571,22964.655034,1872,236.580950,1783,225.333245,206,26.034015,89,11.247705,19,2.401196
297496,0.000304,148333,336047,84873,22887.152555,2507,225.348821,2375,213.483626,306,27.505680,132,11.865195,20,1.797757
297497,0.000312,100818,224249,57061,22639.211252,1695,224.166320,1609,212.792689,219,28.963082,86,11.373630,11,1.454767
297498,0.000267,100514,220211,55214,21972.660525,1659,220.068846,1581,209.722029,202,26.795604,78,10.346817,20,2.653030
297499,0.000312,103056,222046,56286,21846.762925,1718,222.273974,1636,211.664855,206,26.652176,82,10.609119,18,2.328831
297501,0.000294,110968,230081,58029,20917.381587,1832,220.123519,1736,208.588662,226,27.154976,96,11.534857,12,1.441857
297502,0.000312,108440,225279,56842,20967.170786,1713,210.623386,1637,201.278741,186,22.869790,76,9.344645,9,1.106603
297503,0.000250,27153,55948,14209,20931.757080,415,203.783498,392,192.489473,50,24.552229,23,11.294025,2,0.982089
297557,0.000316,259838,595260,149442,23005.411064,4515,231.682818,4262,218.700370,544,27.914829,253,12.982448,40,2.052561
297562,0.000200,345416,499426,126329,14629.200732,3822,147.532251,3679,142.012337,449,17.331758,143,5.519914,26,1.003621
297605,0.000182,21232,26606,6739,12695.930671,215,135.016328,202,126.852550,22,13.815624,13,8.163778,4,2.511932
