#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,169328,42945,18208.800178,6479,915.704710,6210,877.685793,543,76.744507,269,38.018918,29,4.098694
297048,0.000133,95186,169368,42645,17920.702624,6655,932.209919,6383,894.109078,488,68.357391,272,38.100841,32,4.482452
297049,0.000133,97896,170911,43421,17741.685054,6593,897.959740,6329,862.003214,477,64.966904,264,35.956525,17,2.315382
297050,0.000182,72702,124860,31644,17410.250062,4666,855.730700,4465,818.867890,361,66.206340,201,36.862810,27,4.951721
297281,0.000294,109872,263203,66110,24068.006407,8312,1008.688899,7920,961.118392,614,74.510946,392,47.570506,44,5.339547
297282,0.000250,96621,229880,57763,23913.227973,7401,1021.310067,7082,977.289271,536,73.965977,319,44.020796,32,4.415879
297283,0.000267,94768,222625,56493,23844.757724,7061,993.443638,6723,945.888908,567,79.773763,338,47.554730,38,5.346390
297284,0.000250,98380,227785,57447,23357.186420,7235,980.551603,6907,936.098123,565,76.573829,328,44.453480,48,6.505387
297285,0.000200,127208,208436,52877,16626.941702,6469,678.049599,6211,651.007274,507,53.141312,258,27.042324,23,2.410750
297286,0.000222,54003,120672,30606,22669.851675,3759,928.096587,3616,892.789907,287,70.860261,143,35.306680,13,3.209698
297287,0.000250,96023,212202,53822,22420.461764,6702,930.610375,6390,887.287421,490,68.039254,312,43.322954,35,4.859947
297288,0.000267,93899,204495,51844,22085.006230,6418,911.333809,6143,872.284760,465,66.028392,275,39.049049,28,3.975903
297289,0.000267,93859,201332,50576,21554.033177,6272,890.981863,6011,853.904971,480,68.187387,261,37.076892,25,3.551426
297290,0.000267,92673,195804,50180,21658.951367,6277,903.103745,6019,865.983980,497,71.505904,258,37.119765,27,3.884627
297291,0.000235,106074,222231,56499,21305.503705,7180,902.514597,6909,868.450327,563,70.768206,271,34.064270,42,5.279333
297494,0.000286,228287,380048,95696,16767.665263,11654,680.663668,11189,653.504872,909,53.091065,465,27.158796,49,2.861895
297495,0.000312,105503,240422,60571,22964.655034,7304,923.070118,7003,885.030126,519,65.590552,301,38.039993,41,5.181527
297496,0.000304,148333,336047,84873,22887.152555,10277,923.777357,9816,882.339061,777,69.842854,461,41.438295,51,4.584280
297497,0.000312,100818,224249,57061,22639.211252,6840,904.600369,6543,865.321669,561,74.193100,297,39.278700,36,4.761055
297498,0.000267,100514,220211,55214,21972.660525,6461,857.061371,6198,822.174026,464,61.550298,263,34.887346,35,4.642803
297499,0.000312,103056,222046,56286,21846.762925,6669,862.831858,6387,826.346841,491,63.525333,282,36.485018,38,4.916421
297501,0.000294,110968,230081,58029,20917.381587,6805,817.653137,6541,785.932281,550,66.085118,264,31.720856,39,4.686036
297502,0.000312,108440,225279,56842,20967.170786,6929,851.961146,6638,816.180991,518,63.691135,291,35.780155,32,3.934587
297503,0.000250,27153,55948,14209,20931.757080,1674,822.008618,1588,779.778784,114,55.979082,86,42.229833,8,3.928357
297557,0.000316,259838,595260,149442,23005.411064,18054,926.423387,17272,886.295820,1376,70.608097,782,40.127567,72,3.694610
297562,0.000200,345416,499426,126329,14629.200732,14969,577.815349,14442,557.472729,1138,43.927708,527,20.342621,72,2.779257
297605,0.000182,21232,26606,6739,12695.930671,771,484.174830,737,462.823411,52,32.655112,34,21.351419,3,1.883949
