#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,56774,14310,6067.480045,2187,309.098040,1966,277.863167,158,22.330814,221,31.234873,29,4.098694
297048,0.000133,95186,56638,14180,5958.859496,2171,304.106346,1953,273.569643,138,19.330574,218,30.536704,27,3.782069
297049,0.000133,97896,57337,14546,5943.450192,2124,289.286590,1936,263.681185,153,20.838441,188,25.605404,14,1.906785
297050,0.000182,72702,42177,10617,5841.379880,1455,266.842728,1291,236.765609,106,19.440089,164,30.077118,17,3.117750
297281,0.000294,109872,89578,22316,8124.362895,2842,344.886171,2554,309.936411,204,24.756080,288,34.949760,46,5.582253
297282,0.000250,96621,78327,19688,8150.609081,2400,331.190942,2163,298.485836,149,20.561438,237,32.705106,27,3.725898
297283,0.000267,94768,75885,19270,8133.547189,2329,327.677416,2103,295.880466,162,22.792504,226,31.796950,25,3.517362
297284,0.000250,98380,77300,19362,7872.331775,2512,340.448601,2290,310.361185,162,21.955682,222,30.087416,42,5.692214
297285,0.000200,127208,71050,17930,5638.010188,2204,231.012725,2017,211.412280,178,18.657108,187,19.600444,29,3.039641
297286,0.000222,54003,41214,10480,7762.531711,1249,308.377930,1151,284.181743,89,21.974088,98,24.196187,12,2.962798
297287,0.000250,96023,72009,18246,7600.679004,2311,320.895341,2075,288.125414,158,21.939188,236,32.769927,28,3.887957
297288,0.000267,93899,69780,17605,7499.547386,2116,300.464684,1908,270.929403,159,22.577450,208,29.535281,34,4.827882
297289,0.000267,93859,68382,17132,7301.164513,2050,291.216967,1852,263.089670,140,19.887988,198,28.127297,30,4.261712
297290,0.000267,92673,66936,17118,7388.559775,2028,291.778619,1835,264.010733,142,20.430258,193,27.767886,23,3.309126
297291,0.000235,106074,75444,19164,7226.653091,2318,291.368919,2110,265.223649,146,18.351968,208,26.145270,31,3.896651
297494,0.000286,228287,129950,32381,5673.735254,4025,235.084200,3688,215.401373,279,16.295277,337,19.682826,46,2.686677
297495,0.000312,105503,82367,20727,7858.354739,2409,304.446319,2202,278.285926,137,17.313884,207,26.160394,30,3.791361
297496,0.000304,148333,114994,28827,7773.590502,3308,297.348983,2985,268.315210,227,20.404540,323,29.033773,43,3.865177
297497,0.000312,100818,76755,19438,7712.114900,2304,304.707493,2077,274.686399,161,21.292494,227,30.021094,35,4.628803
297498,0.000267,100514,75287,19102,7601.727123,2162,286.792553,1958,259.731646,148,19.632423,204,27.060907,31,4.112197
297499,0.000312,103056,75678,19205,7454.199658,2305,298.219738,2095,271.050044,144,18.630647,210,27.169694,31,4.010764
297501,0.000294,110968,78800,19854,7156.657775,2250,270.348208,2049,246.197102,173,20.786773,201,24.151107,32,3.844952
297502,0.000312,108440,76708,19290,7115.455551,2180,268.043772,1977,243.083733,152,18.689291,203,24.960039,24,2.950941
297503,0.000250,27153,19409,4946,7286.119397,553,271.547650,483,237.174530,37,18.168649,70,34.373120,8,3.928357
297557,0.000316,259838,203429,51015,7853.354783,6106,313.323430,5522,283.356040,435,22.321600,584,29.967390,68,3.489354
297562,0.000200,345416,170746,43242,5007.527156,5100,196.864071,4664,180.034123,361,13.934888,436,16.829948,62,2.393249
297605,0.000182,21232,8942,2292,4318.010550,274,172.067320,254,159.507661,15,9.419744,20,12.559658,3,1.883949
