#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,3444,14310,6067.480045,204,28.832190,172,24.309494,2,0.282669,32,4.522697,1,0.141334
297048,0.000133,95186,3319,14180,5958.859496,234,32.777930,205,28.715707,2,0.280153,29,4.062222,0,0.000000
297049,0.000133,97896,3562,14546,5943.450192,227,30.917164,197,26.831195,4,0.544796,30,4.085969,0,0.000000
297050,0.000182,72702,2494,10617,5841.379880,147,26.959368,121,22.191045,2,0.366794,26,4.768324,0,0.000000
297281,0.000294,109872,5354,22316,8124.362895,287,34.828406,251,30.459686,1,0.121353,36,4.368720,0,0.000000
297282,0.000250,96621,4679,19688,8150.609081,223,30.773158,191,26.357279,1,0.137996,32,4.415879,0,0.000000
297283,0.000267,94768,4581,19270,8133.547189,249,35.032923,222,31.234172,3,0.422083,27,3.798751,0,0.000000
297284,0.000250,98380,4527,19362,7872.331775,260,35.237514,240,32.526936,2,0.271058,20,2.710578,0,0.000000
297285,0.000200,127208,4256,17930,5638.010188,225,23.583422,204,21.382303,2,0.209630,21,2.201119,0,0.000000
297286,0.000222,54003,2486,10480,7762.531711,113,27.899685,100,24.689986,2,0.493800,13,3.209698,0,0.000000
297287,0.000250,96023,4313,18246,7600.679004,243,33.741916,204,28.326547,4,0.555422,39,5.415369,1,0.138856
297288,0.000267,93899,4067,17605,7499.547386,194,27.547329,161,22.861443,0,0.000000,33,4.685886,0,0.000000
297289,0.000267,93859,4158,17132,7301.164513,224,31.820781,192,27.274955,2,0.284114,32,4.545826,1,0.142057
297290,0.000267,92673,4026,17118,7388.559775,201,28.918887,181,26.041386,2,0.287750,20,2.877501,0,0.000000
297291,0.000235,106074,4568,19164,7226.653091,233,29.287730,204,25.642476,1,0.125698,29,3.645254,0,0.000000
297494,0.000286,228287,7641,32381,5673.735254,389,22.719939,350,20.442104,3,0.175218,39,2.277834,1,0.058406
297495,0.000312,105503,4921,20727,7858.354739,221,27.929696,199,25.149364,1,0.126379,22,2.780332,1,0.126379
297496,0.000304,148333,6806,28827,7773.590502,329,29.573100,297,26.696689,1,0.089888,32,2.876411,0,0.000000
297497,0.000312,100818,4556,19438,7712.114900,242,32.004867,207,27.376064,2,0.264503,35,4.628803,2,0.264503
297498,0.000267,100514,4385,19102,7601.727123,206,27.326210,180,23.877271,2,0.265303,26,3.448939,0,0.000000
297499,0.000312,103056,4472,19205,7454.199658,229,29.627905,200,25.875899,2,0.258759,29,3.752005,0,0.000000
297501,0.000294,110968,4576,19854,7156.657775,227,27.275130,200,24.030952,1,0.120155,27,3.244179,0,0.000000
297502,0.000312,108440,4474,19290,7115.455551,225,27.665068,196,24.099348,1,0.122956,29,3.565720,0,0.000000
297503,0.000250,27153,1131,4946,7286.119397,56,27.498496,50,24.552229,1,0.491045,6,2.946267,0,0.000000
297557,0.000316,259838,11993,51015,7853.354783,592,30.377902,518,26.580664,5,0.256570,74,3.797238,1,0.051314
297562,0.000200,345416,10022,43242,5007.527156,476,18.373980,429,16.559742,9,0.347407,47,1.814238,1,0.038601
297605,0.000182,21232,546,2292,4318.010550,34,21.351419,31,19.467470,0,0.000000,3,1.883949,0,0.000000
