#runNumber,lumi per LS (/fb),nEvent,HOTP,HOTP_SOI,rate_HOTP_SOI [kHz],MB1_LQ,rate_MB1_LQ [kHz],isolatedMB1_LQ,rate_isolatedMB1_LQ [kHz],isolatedMB1_LQ_withHOTP_SOI,rate_isolatedMB1_LQ_withHOTP_SOI [kHz],unisolatedMB1_LQ,rate_unisolatedMB1_LQ [kHz],unisolatedMB1_LQ_withHOTP_SOI,rate_unisolatedMB1_LQ_withHOTP_SOI [kHz],MB1_HQ,rate_MB1_HQ [kHz],isolatedMB1_HQ,rate_isolatedMB1_HQ [kHz],isolatedMB1_HQ_withHOTP_SOI,rate_isolatedMB1_HQ_withHOTP_SOI [kHz],unisolatedMB1_HQ,rate_unisolatedMB1_HQ [kHz],unisolatedMB1_HQ_withHOTP_SOI,rate_unisolatedMB1_HQ_withHOTP_SOI [kHz]
297047,0.000133,94339,169328,42945,18208.800178,4378,618.761417,1966,277.863167,157,22.189480,221,31.234873,29,4.098694,8059,1139.012851,1273,179.918521,168,23.744157,254,35.898904,35,4.946699
297048,0.000133,95186,169368,42645,17920.702624,4349,609.193229,1953,273.569643,137,19.190497,218,30.536704,27,3.782069,8115,1136.721787,1296,181.539302,145,20.311110,269,37.680611,40,5.603065
297049,0.000133,97896,170911,43421,17741.685054,4338,590.831086,1936,263.681185,153,20.838441,188,25.605404,14,1.906785,8226,1120.372640,1272,173.245076,149,20.293645,247,33.641143,36,4.903163
297050,0.000182,72702,124860,31644,17410.250062,3311,607.227678,1291,236.765609,106,19.440089,164,30.077118,17,3.117750,5946,1090.478941,883,161.939607,117,21.457456,207,37.963192,36,6.602294
297281,0.000294,109872,263203,66110,24068.006407,5570,675.938061,2554,309.936411,201,24.392020,288,34.949760,46,5.582253,10277,1247.148197,1535,186.277365,202,24.513373,337,40.896073,54,6.553080
297282,0.000250,96621,229880,57763,23913.227973,4721,651.480182,2163,298.485836,147,20.285445,237,32.705106,27,3.725898,8841,1220.024632,1343,185.328931,170,23.459358,312,43.054822,39,5.381853
297283,0.000267,94768,222625,56493,23844.757724,4684,659.012888,2103,295.880466,161,22.651809,226,31.796950,25,3.517362,8830,1242.332151,1349,189.796837,157,22.089031,309,43.474591,43,6.049862
297284,0.000250,98380,227785,57447,23357.186420,4842,656.230941,2290,310.361185,159,21.549095,222,30.087416,42,5.692214,8933,1210.679677,1377,186.623297,156,21.142509,301,40.794199,46,6.234329
297285,0.000200,127208,208436,52877,16626.941702,4395,460.662851,2017,211.412280,176,18.447477,187,19.600444,28,2.934826,8195,858.960652,1267,132.800872,151,15.827097,265,27.776031,39,4.087793
297286,0.000222,54003,120672,30606,22669.851675,2478,611.817862,1151,284.181743,88,21.727188,98,24.196187,12,2.962798,4764,1176.230950,759,187.396996,90,22.220988,168,41.479177,23,5.678697
297287,0.000250,96023,212202,53822,22420.461764,4518,627.349697,2075,288.125414,157,21.800333,236,32.769927,27,3.749102,8252,1145.836588,1273,176.763206,162,22.494611,259,35.963606,43,5.970792
297288,0.000267,93899,204495,51844,22085.006230,4195,595.675495,1908,270.929403,154,21.867468,208,29.535281,32,4.543889,7929,1125.890585,1251,177.637675,157,22.293457,294,41.746983,44,6.247848
297289,0.000267,93859,201332,50576,21554.033177,4254,604.310721,1852,263.089670,135,19.177703,198,28.127297,29,4.119655,7875,1118.699326,1220,173.309610,168,23.865586,284,40.344204,44,6.250511
297290,0.000267,92673,195804,50180,21658.951367,4197,603.843622,1835,264.010733,139,19.998633,193,27.767886,22,3.165251,7606,1094.313698,1216,174.952072,152,21.869009,235,33.810639,42,6.042752
297291,0.000235,106074,222231,56499,21305.503705,4637,582.863536,2110,265.223649,142,17.849174,208,26.145270,31,3.896651,8767,1101.997976,1342,168.687269,173,21.745825,294,36.955333,38,4.776540
297494,0.000286,228287,380048,95696,16767.665263,7840,457.903137,3688,215.401373,277,16.178465,337,19.682826,46,2.686677,14398,840.929765,2166,126.507423,281,16.412089,493,28.794164,78,4.555669
297495,0.000312,105503,240422,60571,22964.655034,4840,611.672970,2202,278.285926,137,17.313884,207,26.160394,30,3.791361,8872,1121.231940,1472,186.029465,189,23.885577,299,37.787235,43,5.434285
297496,0.000304,148333,336047,84873,22887.152555,6815,612.585646,2985,268.315210,224,20.134877,323,29.033773,43,3.865177,12407,1115.238461,1986,178.517255,254,22.831512,417,37.483230,73,6.561812
297497,0.000312,100818,224249,57061,22639.211252,4519,597.644601,2077,274.686399,157,20.763488,227,30.021094,35,4.628803,8422,1113.822267,1335,176.555774,195,25.789046,269,35.575658,32,4.232049
297498,0.000267,100514,220211,55214,21972.660525,4500,596.931771,1958,259.731646,148,19.632423,204,27.060907,31,4.112197,8340,1106.313548,1309,173.640820,167,22.152801,303,40.193406,45,5.969318
297499,0.000312,103056,222046,56286,21846.762925,4627,598.638928,2095,271.050044,142,18.371888,210,27.169694,31,4.010764,8277,1070.874088,1228,158.878021,172,22.253273,292,37.778813,48,6.210216
297501,0.000294,110968,230081,58029,20917.381587,4644,557.998702,2049,246.197102,172,20.666619,201,24.151107,32,3.844952,8674,1042.222382,1374,165.092639,179,21.507702,288,34.604571,44,5.286809
297502,0.000312,108440,225279,56842,20967.170786,4645,571.129964,1977,243.083733,149,18.320423,203,24.960039,24,2.950941,8468,1041.190213,1296,159.350793,147,18.074511,280,34.427640,50,6.147793
297503,0.000250,27153,55948,14209,20931.757080,1133,556.353503,483,237.174530,37,18.168649,70,34.373120,7,3.437312,2036,999.766754,294,144.367105,40,19.641783,63,30.935808,12,5.892535
297557,0.000316,259838,595260,149442,23005.411064,12143,623.106192,5522,283.356040,432,22.167658,584,29.967390,67,3.438040,22561,1157.695692,3504,179.804340,426,21.859774,786,40.332823,112,5.747171
297562,0.000200,345416,499426,126329,14629.200732,9995,385.814979,4664,180.034123,359,13.857687,436,16.829948,62,2.393249,18816,726.312620,3060,118.118443,396,15.285916,587,22.658669,78,3.010862
297605,0.000182,21232,26606,6739,12695.930671,524,329.063049,254,159.507661,15,9.419744,20,12.559658,3,1.883949,978,614.167295,160,100.477267,18,11.303693,37,23.235368,7,4.395880
