#runNumber,lumi per LS (/fb),nEvent,HOTP,HOTP_SOI,rate_HOTP_SOI [kHz],MB1_LQ,rate_MB1_LQ [kHz],isolatedMB1_LQ,rate_isolatedMB1_LQ [kHz],isolatedMB1_LQ_withHOTP_SOI,rate_isolatedMB1_LQ_withHOTP_SOI [kHz],unisolatedMB1_LQ,rate_unisolatedMB1_LQ [kHz],unisolatedMB1_LQ_withHOTP_SOI,rate_unisolatedMB1_LQ_withHOTP_SOI [kHz],MB1_HQ,rate_MB1_HQ [kHz],isolatedMB1_HQ,rate_isolatedMB1_HQ [kHz],isolatedMB1_HQ_withHOTP_SOI,rate_isolatedMB1_HQ_withHOTP_SOI [kHz],unisolatedMB1_HQ,rate_unisolatedMB1_HQ [kHz],unisolatedMB1_HQ_withHOTP_SOI,rate_unisolatedMB1_HQ_withHOTP_SOI [kHz]
297047,0.000133,94339,169328,42945,18208.800178,4291,606.465336,1040,146.987637,96,13.568090,80,11.306741,13,1.837345,8059,1139.012851,732,103.456683,97,13.709424,84,11.872078,13,1.837345
297048,0.000133,95186,169368,42645,17920.702624,4262,597.006563,1081,151.422828,84,11.766436,101,14.147739,16,2.241226,8115,1136.721787,669,93.711260,53,7.424061,88,12.326743,12,1.680919
297049,0.000133,97896,170911,43421,17741.685054,4260,580.207567,1019,138.786740,79,10.759718,84,11.440713,8,1.089592,8226,1120.372640,679,92.479093,70,9.533927,86,11.713111,11,1.498189
297050,0.000182,72702,124860,31644,17410.250062,3237,593.656296,695,127.460959,55,10.086839,73,13.387986,8,1.467177,5946,1090.478941,475,87.113605,65,11.920809,60,11.003824,15,2.750956
297281,0.000294,109872,263203,66110,24068.006407,5458,662.346488,1341,162.734819,106,12.863453,128,15.533227,23,2.791127,10277,1247.148197,857,103.999806,107,12.984807,109,13.227513,20,2.427067
297282,0.000250,96621,229880,57763,23913.227973,4595,634.092658,1142,157.591690,68,9.383743,101,13.937619,14,1.931947,8841,1220.024632,763,105.291120,97,13.385634,114,15.731570,15,2.069943
297283,0.000267,94768,222625,56493,23844.757724,4587,645.365524,1109,156.030165,90,12.662502,98,13.788058,10,1.406945,8830,1242.332151,696,97.923350,81,11.396252,98,13.788058,13,1.829028
297284,0.000250,98380,227785,57447,23357.186420,4724,640.238531,1249,169.275598,81,10.977841,105,14.230535,24,3.252694,8933,1210.679677,743,100.697974,85,11.519957,106,14.366064,19,2.575049
297285,0.000200,127208,208436,52877,16626.941702,4298,450.495776,1045,109.531895,83,8.699662,83,8.699662,8,0.838522,8195,858.960652,667,69.911746,83,8.699662,81,8.490032,10,1.048152
297286,0.000222,54003,120672,30606,22669.851675,2423,598.238369,612,151.102717,35,8.641495,39,9.629095,5,1.234499,4764,1176.230950,398,98.266146,48,11.851193,56,13.826392,11,2.715898
