#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,3444,14310,6067.480045,121,17.101446,103,14.557429,1,0.141334,18,2.544017,0,0.000000
297048,0.000133,95186,3319,14180,5958.859496,136,19.050421,118,16.529041,0,0.000000,18,2.521379,0,0.000000
297049,0.000133,97896,3562,14546,5943.450192,144,19.612650,131,17.842064,3,0.408597,13,1.770586,0,0.000000
297050,0.000182,72702,2494,10617,5841.379880,100,18.339706,80,14.671765,0,0.000000,20,3.667941,0,0.000000
297281,0.000294,109872,5354,22316,8124.362895,185,22.450366,162,19.659240,1,0.121353,23,2.791127,0,0.000000
297282,0.000250,96621,4679,19688,8150.609081,136,18.767487,115,15.869566,1,0.137996,21,2.897921,0,0.000000
297283,0.000267,94768,4581,19270,8133.547189,155,21.807643,140,19.697226,1,0.140694,15,2.110417,0,0.000000
297284,0.000250,98380,4527,19362,7872.331775,155,21.006980,145,19.651691,0,0.000000,10,1.355289,0,0.000000
297285,0.000200,127208,4256,17930,5638.010188,134,14.045238,123,12.892271,2,0.209630,11,1.152967,0,0.000000
297286,0.000222,54003,2486,10480,7762.531711,65,16.048491,59,14.567092,1,0.246900,6,1.481399,0,0.000000
297287,0.000250,96023,4313,18246,7600.679004,145,20.134065,126,17.495808,2,0.277711,19,2.638257,1,0.138856
297288,0.000267,93899,4067,17605,7499.547386,127,18.033561,103,14.625644,0,0.000000,24,3.407917,0,0.000000
297289,0.000267,93859,4158,17132,7301.164513,133,18.893589,116,16.478619,1,0.142057,17,2.414970,0,0.000000
297290,0.000267,92673,4026,17118,7388.559775,122,17.552757,115,16.545632,1,0.143875,7,1.007125,0,0.000000
297291,0.000235,106074,4568,19164,7226.653091,144,18.100571,127,15.963698,1,0.125698,17,2.136873,0,0.000000
297494,0.000286,228287,7641,32381,5673.735254,228,13.316571,208,12.148451,0,0.000000,20,1.168120,0,0.000000
297495,0.000312,105503,4921,20727,7858.354739,132,16.681990,123,15.544582,0,0.000000,9,1.137408,1,0.126379
297496,0.000304,148333,6806,28827,7773.590502,203,18.247232,181,16.269699,0,0.000000,22,1.977533,0,0.000000
297497,0.000312,100818,4556,19438,7712.114900,150,19.837727,128,16.928194,2,0.264503,22,2.909533,0,0.000000
297498,0.000267,100514,4385,19102,7601.727123,128,16.979393,111,14.724317,1,0.132652,17,2.255076,0,0.000000
297499,0.000312,103056,4472,19205,7454.199658,143,18.501268,131,16.948714,1,0.129379,12,1.552554,0,0.000000
297501,0.000294,110968,4576,19854,7156.657775,144,17.302285,123,14.779035,0,0.000000,21,2.523250,0,0.000000
297502,0.000312,108440,4474,19290,7115.455551,144,17.705644,131,16.107218,1,0.122956,13,1.598426,0,0.000000
297503,0.000250,27153,1131,4946,7286.119397,33,16.204471,30,14.731337,0,0.000000,3,1.473134,0,0.000000
297557,0.000316,259838,11993,51015,7853.354783,368,18.883561,319,16.369174,2,0.102628,49,2.514387,1,0.051314
297562,0.000200,345416,10022,43242,5007.527156,282,10.885425,251,9.688800,5,0.193004,31,1.196625,1,0.038601
297605,0.000182,21232,546,2292,4318.010550,20,12.559658,19,11.931675,0,0.000000,1,0.627983,0,0.000000
