#runNumber,lumi per LS (/fb),nEvent,HOTP,HOTP_SOI,rate_HOTP_SOI [kHz],MB1_LQ,rate_MB1_LQ [kHz],isolatedMB1_LQ,rate_isolatedMB1_LQ [kHz],isolatedMB1_LQ_withHOTP_SOI,rate_isolatedMB1_LQ_withHOTP_SOI [kHz],unisolatedMB1_LQ,rate_unisolatedMB1_LQ [kHz],unisolatedMB1_LQ_withHOTP_SOI,rate_unisolatedMB1_LQ_withHOTP_SOI [kHz],MB1_HQ,rate_MB1_HQ [kHz],isolatedMB1_HQ,rate_isolatedMB1_HQ [kHz],isolatedMB1_HQ_withHOTP_SOI,rate_isolatedMB1_HQ_withHOTP_SOI [kHz],unisolatedMB1_HQ,rate_unisolatedMB1_HQ [kHz],unisolatedMB1_HQ_withHOTP_SOI,rate_unisolatedMB1_HQ_withHOTP_SOI [kHz]
297047,0.000133,94339,169328,42945,18208.800178,4339,613.249381,1346,190.235922,119,16.818778,130,18.373455,19,2.685351,8059,1139.012851,933,131.864870,131,18.514789,122,17.242780,20,2.826685
297048,0.000133,95186,169368,42645,17920.702624,4313,604.150470,1363,190.924436,98,13.727509,130,18.209961,17,2.381303,8115,1136.721787,868,121.586508,88,12.326743,136,19.050421,23,3.221762
297049,0.000133,97896,170911,43421,17741.685054,4295,584.974531,1332,181.417014,108,14.709488,114,15.526681,9,1.225791,8226,1120.372640,871,118.629294,96,13.075100,132,17.978263,17,2.315382
297050,0.000182,72702,124860,31644,17410.250062,3279,601.358972,897,164.507166,75,13.754780,96,17.606118,11,2.017368,5946,1090.478941,591,108.387665,80,14.671765,108,19.806883,26,4.768324
297281,0.000294,109872,263203,66110,24068.006407,5525,670.477161,1726,209.455852,132,16.018640,177,21.479540,29,3.519247,10277,1247.148197,1061,128.755886,141,17.110820,154,18.688413,30,3.640600
297282,0.000250,96621,229880,57763,23913.227973,4651,641.820446,1484,204.786399,95,13.109641,141,19.457468,17,2.345936,8841,1220.024632,946,130.544430,121,16.697543,155,21.389415,17,2.345936
297283,0.000267,94768,222625,56493,23844.757724,4637,652.400248,1444,203.162812,120,16.883336,135,18.993753,15,2.110417,8830,1242.332151,903,127.047105,107,15.054308,156,21.948337,25,3.517362
297284,0.000250,98380,227785,57447,23357.186420,4778,647.557092,1585,214.813309,103,13.959477,132,17.889815,28,3.794809,8933,1210.679677,931,126.177407,107,14.501592,153,20.735922,24,3.252694
297285,0.000200,127208,208436,52877,16626.941702,4343,455.212460,1373,143.911284,118,12.368195,115,12.053749,13,1.362598,8195,858.960652,867,90.874788,106,11.110412,129,13.521162,16,1.677043
297286,0.000222,54003,120672,30606,22669.851675,2451,605.151566,788,194.557093,59,14.567092,56,13.826392,5,1.234499,4764,1176.230950,519,128.141029,66,16.295391,88,21.727188,12,2.962798
297287,0.000250,96023,212202,53822,22420.461764,4483,622.489751,1389,192.870458,97,13.468995,155,21.522621,17,2.360546,8252,1145.836588,886,123.026081,116,16.107252,129,17.912375,24,3.332535
297288,0.000267,93899,204495,51844,22085.006230,4146,588.717665,1269,180.193612,96,13.631668,132,18.743544,18,2.555938,7929,1125.890585,854,121.265047,110,15.619620,144,20.447502,21,2.981927
297289,0.000267,93859,201332,50576,21554.033177,4200,596.639640,1315,186.805030,86,12.216907,118,16.762733,18,2.557027,7875,1118.699326,877,124.584039,120,17.046847,123,17.473018,22,3.125255
297290,0.000267,92673,195804,50180,21658.951367,4160,598.520245,1300,187.037577,88,12.661005,107,15.394631,14,2.014251,7606,1094.313698,828,119.128549,96,13.812006,123,17.696632,25,3.596876
297291,0.000235,106074,222231,56499,21305.503705,4583,576.075821,1499,188.421919,106,13.324032,122,15.335206,22,2.765365,8767,1101.997976,954,119.916285,115,14.455317,140,17.597778,18,2.262571
297494,0.000286,228287,380048,95696,16767.665263,7758,453.113844,2588,151.154760,183,10.688300,190,11.097142,24,1.401744,14398,840.929765,1513,88.368297,196,11.447578,252,14.718315,38,2.219428
297495,0.000312,105503,240422,60571,22964.655034,4791,605.480413,1505,190.199963,92,11.626842,118,14.912688,21,2.653953,8872,1121.231940,1046,132.192134,131,16.555611,139,17.566641,20,2.527574
297496,0.000304,148333,336047,84873,22887.152555,6746,606.383385,2093,188.135254,148,13.303401,198,17.797793,25,2.247196,12407,1115.238461,1357,121.977802,176,15.820260,195,17.528129,33,2.966299
297497,0.000312,100818,224249,57061,22639.211252,4473,591.561031,1368,180.920074,111,14.679918,137,18.118458,20,2.645030,8422,1113.822267,918,121.406892,142,18.779715,135,17.853955,18,2.380527
297498,0.000267,100514,220211,55214,21972.660525,4461,591.758362,1290,171.120441,90,11.938635,121,16.050832,19,2.520379,8340,1106.313548,899,119.253703,107,14.193711,141,18.703862,25,3.316288
