#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,3444,14310,6067.480045,405,57.240378,321,45.368299,2,0.282669,84,11.872078,0,0.000000
297048,0.000133,95186,3319,14180,5958.859496,425,59.532564,339,47.485975,4,0.560306,86,12.046589,0,0.000000
297049,0.000133,97896,3562,14546,5943.450192,419,57.067364,322,43.856065,8,1.089592,97,13.211299,1,0.136199
297050,0.000182,72702,2494,10617,5841.379880,312,57.219884,226,41.447736,2,0.366794,86,15.772147,0,0.000000
297281,0.000294,109872,5354,22316,8124.362895,520,63.103733,391,47.449153,6,0.728120,129,15.654580,0,0.000000
297282,0.000250,96621,4679,19688,8150.609081,449,61.960305,331,45.676751,4,0.551985,118,16.283555,0,0.000000
297283,0.000267,94768,4581,19270,8133.547189,476,66.970567,354,49.805842,2,0.281389,122,17.164725,1,0.140694
297284,0.000250,98380,4527,19362,7872.331775,441,59.768246,339,45.944298,4,0.542116,102,13.823948,0,0.000000
297285,0.000200,127208,4256,17930,5638.010188,462,48.424627,352,36.894954,6,0.628891,110,11.529673,3,0.314446
297286,0.000222,54003,2486,10480,7762.531711,244,60.243567,195,48.145473,3,0.740700,49,12.098093,0,0.000000
297287,0.000250,96023,4313,18246,7600.679004,390,54.153692,301,41.795542,4,0.555422,89,12.358150,0,0.000000
297288,0.000267,93899,4067,17605,7499.547386,428,60.774520,321,45.580890,3,0.425990,107,15.193630,0,0.000000
297289,0.000267,93859,4158,17132,7301.164513,424,60.232192,324,46.026487,4,0.568228,100,14.205706,0,0.000000
297290,0.000267,92673,4026,17118,7388.559775,382,54.960272,307,44.169643,4,0.575500,75,10.790629,0,0.000000
297291,0.000235,106074,4568,19164,7226.653091,460,57.821269,352,44.245841,4,0.502794,108,13.575428,1,0.125698
297494,0.000286,228287,7641,32381,5673.735254,776,45.323066,591,34.517953,6,0.350436,185,10.805112,0,0.000000
297495,0.000312,105503,4921,20727,7858.354739,464,58.639723,349,44.106171,6,0.758272,115,14.533552,0,0.000000
297496,0.000304,148333,6806,28827,7773.590502,696,62.561938,533,47.910220,6,0.539327,163,14.651718,0,0.000000
297497,0.000312,100818,4556,19438,7712.114900,428,56.603649,319,42.188234,4,0.529006,109,14.415415,0,0.000000
297498,0.000267,100514,4385,19102,7601.727123,460,61.019692,336,44.570906,5,0.663258,124,16.448787,5,0.663258
297499,0.000312,103056,4472,19205,7454.199658,452,58.479532,348,45.024065,7,0.905656,104,13.455468,0,0.000000
297501,0.000294,110968,4576,19854,7156.657775,437,52.507630,338,40.612309,2,0.240310,99,11.895321,0,0.000000
297502,0.000312,108440,4474,19290,7115.455551,407,50.043035,304,37.378581,3,0.368868,103,12.664453,1,0.122956
297503,0.000250,27153,1131,4946,7286.119397,99,48.613413,71,34.864165,1,0.491045,28,13.749248,1,0.491045
297557,0.000316,259838,11993,51015,7853.354783,1195,61.320259,920,47.208902,9,0.461826,275,14.111357,1,0.051314
297562,0.000200,345416,10022,43242,5007.527156,1014,39.141209,774,29.877018,8,0.308806,240,9.264192,3,0.115802
297605,0.000182,21232,546,2292,4318.010550,50,31.399146,40,25.119317,0,0.000000,10,6.279829,1,0.627983
