#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,3444,14310,6067.480045,180,25.440168,161,22.754817,1,0.141334,19,2.685351,0,0.000000
297048,0.000133,95186,3319,14180,5958.859496,142,19.890880,121,16.949271,1,0.140077,21,2.941609,0,0.000000
297049,0.000133,97896,3562,14546,5943.450192,175,23.834818,145,19.748849,2,0.272398,30,4.085969,0,0.000000
297050,0.000182,72702,2494,10617,5841.379880,113,20.723868,94,17.239324,1,0.183397,19,3.484544,0,0.000000
297281,0.000294,109872,5354,22316,8124.362895,215,26.090966,187,22.693073,2,0.242707,28,3.397893,0,0.000000
297282,0.000250,96621,4679,19688,8150.609081,180,24.839321,153,21.113423,1,0.137996,27,3.725898,0,0.000000
297283,0.000267,94768,4581,19270,8133.547189,162,22.792504,142,19.978614,0,0.000000,20,2.813889,1,0.140694
297284,0.000250,98380,4527,19362,7872.331775,168,22.768855,145,19.651691,1,0.135529,23,3.117165,0,0.000000
297285,0.000200,127208,4256,17930,5638.010188,164,17.189695,143,14.988575,4,0.419261,21,2.201119,1,0.104815
297286,0.000222,54003,2486,10480,7762.531711,99,24.443086,83,20.492689,2,0.493800,16,3.950398,0,0.000000
297287,0.000250,96023,4313,18246,7600.679004,159,22.078044,136,18.884365,2,0.277711,23,3.193679,0,0.000000
297288,0.000267,93899,4067,17605,7499.547386,169,23.997416,146,20.731495,0,0.000000,23,3.265920,0,0.000000
297289,0.000267,93859,4158,17132,7301.164513,171,24.291757,151,21.450616,2,0.284114,20,2.841141,0,0.000000
297290,0.000267,92673,4026,17118,7388.559775,150,21.581259,127,18.272132,2,0.287750,23,3.309126,0,0.000000
297291,0.000235,106074,4568,19164,7226.653091,193,24.259793,163,20.488841,1,0.125698,30,3.770952,0,0.000000
297494,0.000286,228287,7641,32381,5673.735254,327,19.098766,271,15.828029,2,0.116812,56,3.270737,0,0.000000
297495,0.000312,105503,4921,20727,7858.354739,184,23.253683,161,20.346973,4,0.505515,23,2.906710,0,0.000000
297496,0.000304,148333,6806,28827,7773.590502,282,25.348372,249,22.382073,5,0.449439,33,2.966299,0,0.000000
297497,0.000312,100818,4556,19438,7712.114900,158,20.895740,128,16.928194,1,0.132252,30,3.967545,0,0.000000
297498,0.000267,100514,4385,19102,7601.727123,169,22.418104,144,19.101817,3,0.397955,25,3.316288,4,0.530606
297499,0.000312,103056,4472,19205,7454.199658,180,23.288309,157,20.312581,2,0.258759,23,2.975728,0,0.000000
297501,0.000294,110968,4576,19854,7156.657775,181,21.748011,153,18.383678,0,0.000000,28,3.364333,0,0.000000
297502,0.000312,108440,4474,19290,7115.455551,159,19.549982,136,16.721997,3,0.368868,23,2.827985,0,0.000000
297503,0.000250,27153,1131,4946,7286.119397,42,20.623872,37,18.168649,1,0.491045,5,2.455223,1,0.491045
297557,0.000316,259838,11993,51015,7853.354783,486,24.938616,419,21.500576,2,0.102628,67,3.438040,0,0.000000
297562,0.000200,345416,10022,43242,5007.527156,393,15.170114,338,13.047070,6,0.231605,55,2.123044,2,0.077202
297605,0.000182,21232,546,2292,4318.010550,26,16.327556,19,11.931675,0,0.000000,7,4.395880,1,0.627983
