#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,36966,17221,2768.671774,1576,253.378243,1440,231.513115,1151,185.049719,68,10.932564,289,46.463396,29,4.662417
305746,0.022475,240933,36800,18696,3103.933459,1550,257.332951,1449,240.564804,1167,193.746809,37,6.142787,282,46.817995,15,2.490319
305747,0.023100,63059,8942,4213,2672.417894,362,229.626223,321,203.618833,259,164.290585,21,13.320858,62,39.328248,2,1.268653
305748,0.022500,61438,9403,4701,3060.646505,367,238.940070,338,220.059247,269,175.135909,1,0.651063,69,44.923337,0,0.000000
305749,0.022200,61041,9401,4887,3202.437706,341,223.456365,332,217.558690,265,173.653774,3,1.965892,67,43.904916,1,0.655297
305750,0.024111,60062,8500,4187,2788.451933,363,241.750191,356,237.088342,282,187.805934,14,9.323699,74,49.282408,6,3.995871
305751,0.022300,62092,8547,4086,2632.223153,388,249.951685,375,241.577015,298,191.973201,16,10.307286,77,49.603814,11,7.086259
305752,0.022200,61887,8752,4382,2832.258794,378,244.316254,351,226.865093,270,174.511610,16,10.341429,81,52.353483,1,0.646339
305753,0.021500,60433,8232,3961,2621.746397,360,238.280410,312,206.509688,248,164.148727,12,7.942680,64,42.360962,5,3.309450
305754,0.021600,61122,8461,4206,2752.527731,339,221.851379,323,211.380518,261,170.805929,14,9.162004,62,40.574589,5,3.272144
305755,0.021700,61475,8635,4263,2773.810492,374,243.350956,320,208.214721,252,163.969093,13,8.458723,68,44.245628,9,5.856039
305756,0.023471,113035,16934,8119,2873.092405,694,245.587650,639,226.124652,510,180.475074,4,1.415491,129,45.649578,1,0.353873
305757,0.021842,1717374,214242,102433,2385.805305,8444,196.672361,7966,185.539085,6377,148.529092,186,4.332196,1589,37.009993,61,1.420774
305758,0.002923,626302,11710,5641,360.273478,392,25.035845,328,20.948360,248,15.839004,8,0.510936,80,5.109356,5,0.319335
306126,0.041094,1521414,164274,43491,1143.436303,1212,31.865094,2076,54.580804,1817,47.771350,57,1.498606,259,6.809455,15,0.394370
306139,0.085532,653362,143610,37964,2324.224549,1036,63.425788,1832,112.158344,1603,98.138551,52,3.183534,229,14.019793,24,1.469323
306425,0.243153,17322,10360,2736,6317.977139,86,198.591387,129,297.887080,109,251.703037,1,2.309202,20,46.184043,2,4.618404
306432,0.018331,52426,2730,714,544.767863,24,18.311525,35,26.704307,32,24.415366,1,0.762980,3,2.288941,0,0.000000
306458,0.232209,689146,415471,109854,6376.239578,3093,179.526544,5055,293.406622,4414,256.201153,121,7.023185,641,37.205469,52,3.018228
306459,0.219250,11327,6253,1644,5805.597246,49,173.037874,69,243.665578,63,222.477267,3,10.594156,6,21.188311,0,0.000000
