#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,4557,1166,494.387263,878,372.274457,1733,244.932283,1673,236.452227,32,4.522697,60,8.480056,8,1.130674
297048,0.000133,95186,4681,1159,487.046414,939,394.595844,1732,242.612709,1686,236.169185,28,3.922145,46,6.443525,10,1.400766
297049,0.000133,97896,4752,1222,499.305385,954,389.801422,1770,241.072158,1714,233.445016,43,5.856555,56,7.627142,10,1.361990
297050,0.000182,72702,3402,841,462.710792,690,379.631922,1289,236.398815,1248,228.879536,25,4.584927,41,7.519280,1,0.183397
297281,0.000294,109872,6975,1752,637.833115,1231,448.157856,2196,266.491918,2126,257.997185,45,5.460900,70,8.494733,6,0.728120
297282,0.000250,96621,6003,1536,635.886609,1067,441.725919,1869,257.914946,1805,249.083188,32,4.415879,64,8.831758,14,1.931947
297283,0.000267,94768,5892,1478,623.839271,1002,422.927570,1868,262.817266,1802,253.531431,34,4.783612,66,9.285835,10,1.406945
297284,0.000250,98380,5962,1516,616.385444,1009,410.245985,1952,264.552416,1887,255.743037,23,3.117165,65,8.809379,10,1.355289
297285,0.000200,127208,5393,1400,440.223885,964,303.125590,1788,187.409597,1727,181.015869,22,2.305935,61,6.393728,8,0.838522
297286,0.000222,54003,3134,792,586.634076,518,383.682388,982,242.455666,963,237.764569,20,4.937997,19,4.691097,2,0.493800
297287,0.000250,96023,5584,1441,600.272851,936,389.906585,1800,249.940119,1755,243.691616,29,4.026813,45,6.248503,10,1.388556
297288,0.000267,93899,5412,1344,572.530059,892,379.982747,1662,235.998253,1618,229.750406,27,3.833907,44,6.247848,9,1.277969
297289,0.000267,93859,5306,1323,563.824460,812,346.050991,1705,242.207283,1659,235.672658,27,3.835541,46,6.534625,14,1.988799
297290,0.000267,92673,5309,1346,580.967488,825,356.090771,1719,247.321226,1672,240.559098,29,4.172377,47,6.762128,13,1.870376
297291,0.000235,106074,5848,1540,580.726663,947,357.109188,1878,236.061617,1826,229.525300,36,4.525143,52,6.536317,8,1.005587
297494,0.000286,228287,9943,2525,442.425543,1589,278.421461,3014,176.035721,2938,171.596864,51,2.978707,76,4.438857,9,0.525654
297495,0.000312,105503,6318,1613,611.546591,973,368.899463,1850,233.800619,1797,227.102547,35,4.423255,53,6.698072,9,1.137408
297496,0.000304,148333,8843,2233,602.158657,1368,368.899705,2681,240.989306,2598,233.528615,48,4.314616,83,7.460691,19,1.707869
297497,0.000312,100818,5965,1487,589.974013,962,381.677875,1888,249.690862,1834,242.549280,32,4.232049,54,7.141582,14,1.851521
297498,0.000267,100514,5804,1473,586.186999,925,368.107925,1751,232.272785,1707,226.436118,31,4.112197,44,5.836666,8,1.061212
297499,0.000312,103056,5776,1514,587.641671,941,365.238317,1806,233.659370,1742,225.379082,35,4.528282,64,8.280288,11,1.423174
297501,0.000294,110968,5959,1521,548.266167,973,350.731742,1879,225.770793,1801,216.398722,33,3.965107,78,9.372071,15,1.802321
297502,0.000312,108440,5794,1456,537.071191,931,343.415714,1826,224.517398,1781,218.984385,29,3.565720,45,5.533014,8,0.983647
297503,0.000250,27153,1493,379,558.317681,239,352.078960,460,225.880504,449,220.479014,6,2.946267,11,5.401490,2,0.982089
297557,0.000316,259838,15691,3907,601.451674,2461,378.851438,4906,251.746601,4732,242.817961,78,4.002494,174,8.928640,34,1.744677
297562,0.000200,345416,13091,3272,378.905436,2050,237.394909,3955,152.666157,3829,147.802457,60,2.316048,126,4.863701,25,0.965020
297605,0.000182,226704,7226,1786,315.124568,1175,207.318795,2264,133.154539,2194,129.037570,32,1.882043,70,4.116969,17,0.999835
297620,0.000290,1893027,101827,25742,543.933076,16031,338.737905,30380,213.978283,29435,207.322276,509,3.585087,945,6.656006,168,1.183290
297656,0.000296,2551776,144431,36410,570.739751,22807,357.507869,43442,226.989621,42014,219.528151,756,3.950190,1428,7.461470,261,1.363756
297660,0.000211,1480276,56175,13960,377.226950,8825,238.469042,17008,153.196656,16497,148.593911,288,2.594111,511,4.602745,79,0.711579
297661,0.000188,824611,26843,6829,331.259224,4251,206.206320,8222,132.943493,7948,128.513121,139,2.247524,274,4.430372,51,0.824631
297662,0.000250,104235,4400,1144,439.008011,708,271.693769,1272,162.709263,1240,158.615948,18,2.302490,32,4.093315,6,0.767497
297663,0.000250,109306,4495,1127,412.420178,747,273.361023,1387,169.188639,1342,163.699461,23,2.805579,45,5.489177,6,0.731890
297664,0.000211,133532,5611,1408,421.771560,883,264.505886,1593,159.062996,1540,153.770881,34,3.394942,53,5.292115,10,0.998512
297670,0.000312,109485,6630,1694,618.897566,1061,387.633009,1889,230.046734,1814,220.913063,42,5.114856,75,9.133671,12,1.461387
297672,0.000286,96241,5441,1369,568.988269,868,360.761006,1660,229.978214,1627,225.406358,17,2.355199,33,4.571856,7,0.969788
297673,0.000267,97839,5381,1410,576.457241,847,346.283180,1691,230.446618,1639,223.360146,29,3.952071,52,7.086472,4,0.545113
297674,0.000500,11685,663,156,534.017972,105,359.435173,203,231.636001,198,225.930680,5,5.705320,5,5.705320,1,1.141064
297723,0.000297,256624,13418,3418,532.763888,2123,330.912152,4019,208.813933,3907,202.994784,58,3.013488,112,5.819149,18,0.935220
