#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,3444,14310,6067.480045,816,115.328761,732,103.456683,1,0.141334,84,11.872078,0,0.000000
297048,0.000133,95186,3319,14180,5958.859496,757,106.038003,669,93.711260,0,0.000000,88,12.326743,0,0.000000
297049,0.000133,97896,3562,14546,5943.450192,765,104.192204,679,92.479093,1,0.136199,86,11.713111,0,0.000000
297050,0.000182,72702,2494,10617,5841.379880,535,98.117429,475,87.113605,1,0.183397,60,11.003824,0,0.000000
297281,0.000294,109872,5354,22316,8124.362895,966,117.227319,857,103.999806,2,0.242707,109,13.227513,0,0.000000
297282,0.000250,96621,4679,19688,8150.609081,877,121.022690,763,105.291120,1,0.137996,114,15.731570,0,0.000000
297283,0.000267,94768,4581,19270,8133.547189,794,111.711408,696,97.923350,0,0.000000,98,13.788058,1,0.140694
297284,0.000250,98380,4527,19362,7872.331775,849,115.064037,743,100.697974,1,0.135529,106,14.366064,0,0.000000
297285,0.000200,127208,4256,17930,5638.010188,748,78.401778,667,69.911746,1,0.104815,81,8.490032,0,0.000000
297286,0.000222,54003,2486,10480,7762.531711,454,112.092538,398,98.266146,2,0.493800,56,13.826392,0,0.000000
297287,0.000250,96023,4313,18246,7600.679004,774,107.474251,701,97.337791,0,0.000000,73,10.136460,0,0.000000
297288,0.000267,93899,4067,17605,7499.547386,769,109.195341,674,95.705670,0,0.000000,95,13.489672,0,0.000000
297289,0.000267,93859,4158,17132,7301.164513,761,108.105421,678,96.314685,0,0.000000,83,11.790736,0,0.000000
297290,0.000267,92673,4026,17118,7388.559775,715,102.870667,631,90.785162,2,0.287750,84,12.085505,0,0.000000
297291,0.000235,106074,4568,19164,7226.653091,835,104.958174,741,93.142523,1,0.125698,94,11.815651,0,0.000000
297494,0.000286,228287,7641,32381,5673.735254,1345,78.556087,1176,68.685470,1,0.058406,169,9.870616,0,0.000000
297495,0.000312,105503,4921,20727,7858.354739,909,114.878250,830,104.894332,3,0.379136,79,9.983918,0,0.000000
297496,0.000304,148333,6806,28827,7773.590502,1200,107.865411,1065,95.730552,3,0.269664,135,12.134859,0,0.000000
297497,0.000312,100818,4556,19438,7712.114900,785,103.817440,692,91.518049,2,0.264503,93,12.299391,0,0.000000
297498,0.000267,100514,4385,19102,7601.727123,788,104.529386,703,93.254008,3,0.397955,85,11.275378,0,0.000000
297499,0.000312,103056,4472,19205,7454.199658,742,95.999586,658,85.131708,2,0.258759,84,10.867878,0,0.000000
297501,0.000294,110968,4576,19854,7156.657775,862,103.573403,759,91.197462,0,0.000000,103,12.375940,0,0.000000
297502,0.000312,108440,4474,19290,7115.455551,771,94.798967,696,85.577278,2,0.245912,75,9.221689,0,0.000000
297503,0.000250,27153,1131,4946,7286.119397,182,89.370113,164,80.531310,1,0.491045,18,8.838802,0,0.000000
297557,0.000316,259838,11993,51015,7853.354783,2175,111.608002,1924,98.728182,2,0.102628,251,12.879820,0,0.000000
297562,0.000200,345416,10022,43242,5007.527156,1842,71.102670,1656,63.922922,4,0.154403,186,7.179748,2,0.077202
297605,0.000182,226704,5758,24119,4255.593196,969,56.990613,865,50.873974,1,0.058814,104,6.116640,0,0.000000
297620,0.000290,1893027,77669,334401,7065.953101,13338,93.944777,11831,83.330384,28,0.197215,1507,10.614393,1,0.007043
297656,0.000296,2551776,110287,473608,7423.974518,18880,98.650247,16712,87.322189,29,0.151528,2168,11.328058,3,0.015675
297660,0.000211,1480276,43314,184285,4979.747020,7448,67.086588,6652,59.916754,11,0.099081,796,7.169834,0,0.000000
297661,0.000188,824611,20680,89351,4334.213344,3618,58.500311,3211,51.919430,4,0.064677,407,6.580881,1,0.016169
297662,0.000250,104235,3433,14233,5461.889001,612,78.284645,536,68.563023,3,0.383748,76,9.721623,1,0.127916
297663,0.000250,109306,3482,14969,5477.832873,689,84.045402,609,74.286864,0,0.000000,80,9.758537,0,0.000000
297664,0.000211,133532,4169,18056,5408.740976,741,73.989755,672,67.100021,3,0.299554,69,6.889734,0,0.000000
297670,0.000312,109485,4995,21447,7835.593917,912,111.065443,805,98.034738,1,0.121782,107,13.030704,0,0.000000
297672,0.000286,96241,4069,17595,7312.891595,754,104.459984,665,92.129827,2,0.277082,89,12.330157,2,0.277082
297673,0.000267,97839,4110,17807,7280.123468,682,92.941806,594,80.949315,3,0.408835,88,11.992491,0,0.000000
297674,0.000500,11685,527,2276,7791.185280,87,99.272572,76,86.720867,0,0.000000,11,12.551704,0,0.000000
297723,0.000297,256624,10505,44590,6950.246275,1850,96.119874,1650,85.728537,6,0.311740,200,10.391338,0,0.000000
