#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,3444,14310,6067.480045,9307,1315.398015,7089,1001.918613,10,1.413343,2218,313.479402,5,0.706671
297048,0.000133,95186,3319,14180,5958.859496,9412,1318.401165,7174,1004.909686,10,1.400766,2238,313.491480,7,0.980536
297049,0.000133,97896,3562,14546,5943.450192,9471,1289.940345,7191,979.406717,16,2.179183,2280,310.533628,7,0.953393
297050,0.000182,72702,2494,10617,5841.379880,6866,1259.204240,5130,940.826937,13,2.384162,1736,318.377303,8,1.467177
297281,0.000294,109872,5354,22316,8124.362895,12194,1479.782535,9327,1131.862531,25,3.033833,2867,347.920004,9,1.092180
297282,0.000250,96621,4679,19688,8150.609081,10410,1436.540711,7885,1088.100240,11,1.517958,2525,348.440470,5,0.689981
297283,0.000267,94768,4581,19270,8133.547189,10170,1430.862738,7645,1075.609207,15,2.110417,2525,355.253531,5,0.703472
297284,0.000250,98380,4527,19362,7872.331775,10593,1435.657654,7972,1080.436403,12,1.626347,2621,355.221251,20,2.710578
297285,0.000200,127208,4256,17930,5638.010188,9637,1010.104186,7372,772.697734,9,0.943337,2265,237.406452,7,0.733706
297286,0.000222,54003,2486,10480,7762.531711,5435,1341.900759,4178,1031.547630,11,2.715898,1257,310.353129,3,0.740700
297287,0.000250,96023,4313,18246,7600.679004,9796,1360.229667,7539,1046.832530,20,2.777112,2257,313.397137,9,1.249701
297288,0.000267,93899,4067,17605,7499.547386,9271,1316.449944,7070,1003.915555,8,1.135972,2201,312.534390,5,0.709983
297289,0.000267,93859,4158,17132,7301.164513,9244,1313.175437,7011,995.962028,9,1.278514,2233,317.213409,5,0.710285
297290,0.000267,92673,4026,17118,7388.559775,9079,1306.241660,6916,995.039907,19,2.733626,2163,311.201752,7,1.007125
297291,0.000235,106074,4568,19164,7226.653091,10112,1271.062340,7738,972.654311,16,2.011175,2374,298.408030,5,0.628492
297494,0.000286,228287,7641,32381,5673.735254,17095,998.450781,13164,768.856746,26,1.518556,3931,229.594034,11,0.642466
297495,0.000312,105503,4921,20727,7858.354739,10465,1322.553229,8110,1024.931361,8,1.011030,2355,297.621869,10,1.263787
297496,0.000304,148333,6806,28827,7773.590502,14703,1321.620947,11248,1011.058452,16,1.438205,3455,310.562496,12,1.078654
297497,0.000312,100818,4556,19438,7712.114900,9948,1315.638081,7619,1007.624300,10,1.322515,2329,308.013781,11,1.454767
297498,0.000267,100514,4385,19102,7601.727123,9590,1272.127929,7322,971.274317,14,1.857121,2268,300.853612,7,0.928561
297499,0.000312,103056,4472,19205,7454.199658,9919,1283.315220,7649,989.623764,14,1.811313,2270,293.691456,7,0.905656
297501,0.000294,110968,4576,19854,7156.657775,10014,1203.229760,7768,933.362170,11,1.321702,2246,269.867589,7,0.841083
297502,0.000312,108440,4474,19290,7115.455551,9995,1228.943809,7628,937.907291,11,1.352514,2367,291.036518,7,0.860691
297503,0.000250,27153,1131,4946,7286.119397,2513,1233.995016,1947,956.063787,4,1.964178,566,277.931229,3,1.473134
297557,0.000316,259838,11993,51015,7853.354783,26298,1349.456200,20148,1033.874953,36,1.847305,6150,315.581247,16,0.821024
297562,0.000200,345416,10022,43242,5007.527156,21684,837.019710,16758,646.872177,29,1.119423,4926,190.147532,15,0.579012
297605,0.000182,226704,5758,24119,4255.593196,12277,722.057543,9522,560.025408,12,0.705766,2755,162.032136,9,0.529325
297620,0.000290,1893027,77669,334401,7065.953101,167927,1182.775875,128494,905.033755,210,1.479113,39433,277.742121,126,0.887468
297656,0.000296,2551776,110287,473608,7423.974518,237875,1242.925189,181417,947.925419,306,1.598886,56458,294.999770,170,0.888270
297660,0.000211,1480276,43314,184285,4979.747020,93234,839.789337,71751,646.284882,105,0.945770,21483,193.504455,64,0.576469
297661,0.000188,824611,20680,89351,4334.213344,44775,723.977730,34343,555.300216,54,0.873139,10432,168.677514,35,0.565923
297662,0.000250,104235,3433,14233,5461.889001,7295,933.147855,5648,722.470060,7,0.895413,1647,210.677795,5,0.639580
297663,0.000250,109306,3482,14969,5477.832873,7462,910.227557,5766,703.346568,10,1.219817,1696,206.880989,4,0.487927
297664,0.000211,133532,4169,18056,5408.740976,9002,898.860698,6859,684.879530,26,2.596132,2143,213.981168,5,0.499256
297670,0.000312,109485,4995,21447,7835.593917,10857,1322.190254,8220,1001.050372,8,0.974258,2637,321.139882,9,1.096041
297672,0.000286,96241,4069,17595,7312.891595,9115,1262.802063,6939,961.336644,13,1.801034,2176,301.465418,10,1.385411
297673,0.000267,97839,4110,17807,7280.123468,9098,1239.860042,6953,947.543072,7,0.953948,2145,292.316970,8,1.090226
297674,0.000500,11685,527,2276,7791.185280,1119,1276.850663,873,996.148909,0,0.000000,246,280.701754,1,1.141064
297723,0.000297,256624,10505,44590,6950.246275,22449,1166.375709,17208,894.070703,32,1.662614,5241,272.305007,17,0.883264
